# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

#CYHZ
CYHZ,23,CYHZ,KELNO,3
CYHZ,23,CYHZ,ACADN,3
CYHZ,23,CYHZ,DUSEN,3
CYHZ,23,CYHZ,IGTAS,3
CYHZ,23,CYHZ,SENVI,3
CYHZ,23,CYHZ,KATLO,3

CYHZ,05,CYHZ,KELNO,3
CYHZ,05,CYHZ,ACADN,3
CYHZ,05,CYHZ,DUSEN,3
CYHZ,05,CYHZ,IGTAS,3
CYHZ,05,CYHZ,SENVI,3
CYHZ,05,CYHZ,KATLO,3

CYHZ,14,CYHZ,KELNO,3
CYHZ,14,CYHZ,ACADN,3
CYHZ,14,CYHZ,DUSEN,3
CYHZ,14,CYHZ,IGTAS,3
CYHZ,14,CYHZ,SENVI,3
CYHZ,14,CYHZ,KATLO,3

CYHZ,32,CYHZ,KELNO,3
CYHZ,32,CYHZ,ACADN,3
CYHZ,32,CYHZ,DUSEN,3
CYHZ,32,CYHZ,IGTAS,3
CYHZ,32,CYHZ,SENVI,3
CYHZ,32,CYHZ,KATLO,3
